=== 2026-09-23T07:09:44Z import start on 8fdaa2ab94a274e04095d7124d546eb0cd14c961 (dev) ; df: 53G free
2026-09-23 07:11:36 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-02.zip
2026-09-23 07:11:40 [info     ] imported_batch                 batch=9/9 interval=5m month=2 pair=BTC/USDT rows=8064 year=2023
2026-09-23 07:11:40 [info     ] imported                       batches=9 interval=5m month=2 pair=BTC/USDT rows=8064 year=2023
2026-09-23 07:11:40 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-03.zip
2026-09-23 07:11:45 [info     ] imported_batch                 batch=9/9 interval=5m month=3 pair=BTC/USDT rows=8912 year=2023
2026-09-23 07:11:45 [info     ] imported                       batches=9 interval=5m month=3 pair=BTC/USDT rows=8912 year=2023
2026-09-23 07:11:46 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-04.zip
2026-09-23 07:11:50 [info     ] imported_batch                 batch=9/9 interval=5m month=4 pair=BTC/USDT rows=8640 year=2023
2026-09-23 07:11:50 [info     ] imported                       batches=9 interval=5m month=4 pair=BTC/USDT rows=8640 year=2023
2026-09-23 07:11:50 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-05.zip
2026-09-23 07:11:55 [info     ] imported_batch                 batch=9/9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:11:55 [info     ] imported                       batches=9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:11:55 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-06.zip
2026-09-23 07:11:59 [info     ] imported_batch                 batch=9/9 interval=5m month=6 pair=BTC/USDT rows=8640 year=2023
2026-09-23 07:11:59 [info     ] imported                       batches=9 interval=5m month=6 pair=BTC/USDT rows=8640 year=2023
2026-09-23 07:11:59 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-07.zip
2026-09-23 07:12:04 [info     ] imported_batch                 batch=9/9 interval=5m month=7 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:12:04 [info     ] imported                       batches=9 interval=5m month=7 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:12:04 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-08.zip
2026-09-23 07:12:08 [info     ] imported_batch                 batch=9/9 interval=5m month=8 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:12:08 [info     ] imported                       batches=9 interval=5m month=8 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:12:08 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-09.zip
2026-09-23 07:12:13 [info     ] imported_batch                 batch=9/9 interval=5m month=9 pair=BTC/USDT rows=8640 year=2023
2026-09-23 07:12:13 [info     ] imported                       batches=9 interval=5m month=9 pair=BTC/USDT rows=8640 year=2023
2026-09-23 07:12:13 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-10.zip
2026-09-23 07:12:18 [info     ] imported_batch                 batch=9/9 interval=5m month=10 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:12:18 [info     ] imported                       batches=9 interval=5m month=10 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:12:18 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-11.zip
2026-09-23 07:12:22 [info     ] imported_batch                 batch=9/9 interval=5m month=11 pair=BTC/USDT rows=8640 year=2023
2026-09-23 07:12:22 [info     ] imported                       batches=9 interval=5m month=11 pair=BTC/USDT rows=8640 year=2023
2026-09-23 07:12:22 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-12.zip
2026-09-23 07:12:26 [info     ] imported_batch                 batch=9/9 interval=5m month=12 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:12:26 [info     ] imported                       batches=9 interval=5m month=12 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:12:26 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01.zip
2026-09-23 07:12:31 [info     ] imported_batch                 batch=9/9 interval=5m month=1 pair=BTC/USDT rows=8928 year=2024
